iteration,footpoint_lat,footpoint_lon,peak_lyr_km,peak_nya_km,centroid_lyr_km,centroid_nya_km,corr,accepted,reason
2,77.7365,13.8867,135.00,143.00,162.98,162.55,0.6440,0,correlation 0.64 <= 0.7
2,77.7691,13.8978,137.00,135.00,168.71,163.08,0.8482,0,centroids differ by 5.6 km
2,77.7240,13.9358,119.00,143.00,156.14,164.96,0.3893,0,correlation 0.39 <= 0.7
2,77.7327,13.8170,139.00,145.00,167.45,158.44,0.5587,0,correlation 0.56 <= 0.7
2,77.7179,13.9242,119.00,145.00,155.18,163.81,0.3635,0,correlation 0.36 <= 0.7
2,77.7333,13.8016,141.00,145.00,168.53,158.52,0.5634,0,correlation 0.56 <= 0.7
2,77.7534,13.8910,141.00,139.00,165.19,163.66,0.7381,0,centroids differ by 1.5 km
2,77.6877,13.8308,104.37,153.00,155.49,162.64,0.3736,0,correlation 0.37 <= 0.7
2,77.6918,13.9155,97.00,149.00,150.56,161.24,0.3500,0,correlation 0.35 <= 0.7
2,77.7398,13.9250,143.00,141.00,160.64,164.66,0.6198,0,correlation 0.62 <= 0.7
2,77.7075,13.8681,123.00,149.00,156.88,159.78,0.3997,0,correlation 0.40 <= 0.7
2,77.7099,13.8480,123.00,149.00,159.62,159.59,0.4411,0,correlation 0.44 <= 0.7
2,77.7315,13.8429,149.00,145.00,165.29,159.10,0.5643,0,correlation 0.56 <= 0.7
2,77.7430,13.9304,133.00,139.00,160.87,164.64,0.6480,0,correlation 0.65 <= 0.7
2,77.7619,13.9182,139.00,137.00,165.25,163.70,0.8072,0,centroids differ by 1.6 km
2,77.7076,13.9203,103.00,147.00,152.24,162.70,0.3275,0,correlation 0.33 <= 0.7
2,77.7744,13.8907,149.00,135.00,170.68,162.66,0.8464,0,centroids differ by 8.0 km
2,77.7724,13.7921,157.00,137.00,177.76,157.95,0.5349,0,correlation 0.53 <= 0.7
